"","depth","upper_age","lower_age","Lycopodium...4","Lycopodium...5","Monolete psilate","Polypodium","Ophioglossum","Allantodia","Cyathea","Aspleniaceae","Asplenium","Cyclosorus","Selaginella","Gleicheniaceae","Trilete","Hymenophyllaceae","Pteris","Adiantum","Spore 47","Athyriaceae","Blechnum","Davalliaceae","Sinopteridaceae","Pleuromanes","Arcella discoides","Lophosoria","Hypolepis","Spore 32","Pityrogramma","Histrichosphaeridae","Jamesonia","Spore 54","Sporormiella","Isoetes","Cyperaceae","Myriophyllum","Alismataceae","Acalypha","Alchornea","Alnus","Amaranthaceae","Ambrosia","Anacardiaceae","Asteraceae 1","Caryophyllaceae","Celtis","Cecropia","Clethra","Ericaceae","Hedyosmum","Melast/Combret","Meliaceae/Bruniaceae","Morac/Urtica","Myrica/Morella","Myrsine","Plantago","Poaceae","Podocarpus","Polylepis","Solanaceae","Symplocos","Thalictrum","Trema","Weinmannia","Valeriana","Vallea","Zea mays","Apiaceae","Eryngium (Apiaceae)","Psyllocarpus/Micrandra?","Fabaceae © cf Cercidium","Licania","Virola","Aechmea","cf Panopsis (Proteaceae)","Rubiaceae (cf Uncaria)","cf Sapium","cf Matayba (Sapind)","Rubiaceae (cf Hoffmannia)","Aralia","Juglandaceae","Mutisia (Astera)","Tricolp. 8 (Poma)","Pera (Euphorb)","Gunnera","Borreria (Rub)","Gonocalyx (Ericaceae)","Asteraceae (lig)","Pagamea (Rub)","Paullinia (Sapind)","Malanea (Rub)","Loranthaceae","Dodonaea (Sapind.)","Brassicaceae","cf Rubiaceae","Lamiaceae","cf Rhamnaceae","Fagara (Rubiaceae)","Alseis","Alchornea Type 2","cf Sapindaceae","Alternanthera","Rumex","Portulaceae","Polygalaceae","Fabaceae (P) rectangular/ Dalea","cf Sabicea (Rubiaceae)","Bocconia","Dendropanax (Araliaceae)","Carapa (Meliaceae)","Sapotaceae","Fab.syncolpate","Tricolp. 10 (Poma)","Begoniaceae","Apocynaceae","Bignoniaceae","Tovomotopsis","Piper","Uncaria 2","Fabaceae (M)","Inaperturate cf Bromel/Aracec","Ephedra","Myrtaceae","Schefflera (Araliaceae)","cf. Pandanaceae Freycinetia","Mimosa","Arecaceae","Bromeliaceae (Puya)","Philodendron","Anthurum","Cupressaceae","Nymphaeaceae","Boraginaceae","Bursera?","Podocarpus fininho","Froesiodendron","Ulmaceae","Saccate 1","Nyctaginaceae fig 3 plate 127","Poaceae >80 cm","Unknown"
"11","25",881,945,198,2,28,5,2,1,8,4,2,2,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16,16,18,0,0,6,2,56,0,0,0,16,0,0,1,2,0,3,8,0,23,4,2,0,130,4,6,0,6,3,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","27.5",945,1010,229,0,18,4,1,2,3,2,1,4,0,0,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,10,9,0,0,6,3,49,2,1,1,13,0,4,0,1,1,4,8,0,16,2,7,3,129,2,5,1,11,5,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","30",1010,1050,273,1,19,3,1,2,3,4,0,0,7,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,21,0,0,9,3,40,1,0,0,8,0,0,1,0,1,5,15,0,19,3,2,2,128,3,7,4,3,6,0,2,1,6,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","32.5",1050,1142,266,0,14,4,1,2,6,3,0,0,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,14,13,6,0,0,6,2,63,0,0,0,8,0,3,0,2,0,2,7,2,12,6,4,0,131,2,7,3,8,6,0,2,2,2,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","35",1142,1205,307,0,27,3,1,4,3,2,5,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,18,14,0,0,18,4,29,0,0,0,13,0,1,0,1,0,5,16,0,11,4,2,0,143,3,9,3,4,7,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","37.5",1205,1267,389,0,39,3,4,2,6,2,1,1,1,1,2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,17,13,8,0,0,11,4,45,0,0,0,18,0,1,0,4,0,14,10,0,12,1,3,3,129,4,7,1,9,4,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","40",1267,1318,249,0,18,4,2,1,6,4,2,4,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,8,12,1,0,8,0,36,0,0,0,10,1,0,1,4,1,16,10,0,15,2,2,0,148,3,0,0,0,2,0,4,0,4,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","42.5",1318,1368,245,0,15,8,5,1,3,4,3,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13,11,10,0,0,7,2,61,1,2,1,8,0,2,0,5,0,8,17,0,18,7,6,0,108,5,1,5,6,2,0,2,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","45",1368,1406,192,1,28,1,1,6,3,1,0,8,0,1,1,2,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,8,10,10,0,0,8,5,44,4,1,1,9,0,1,3,7,0,5,11,0,18,4,3,0,110,3,7,1,13,2,0,3,2,1,0,3,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","47.5",1406,1445,241,0,14,2,3,2,2,4,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,11,13,7,0,0,7,4,66,2,2,1,15,0,0,4,3,0,13,10,0,14,5,2,2,105,6,1,3,7,1,0,1,1,4,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
