"","Sample ID","Sitename","Country","Sample","Material","C14_date","Error"
"159","GX-7817","La Plata Island","Ecuador",NA,NA,2640,95
"160","GX-9991","Salango","Ecuador",NA,"charcoal",2650,40
"161","GX-13025","Salango","Ecuador",NA,"human bone",2655,60
"162","GX-13669","Salango","Ecuador",NA,"human bone",2660,40
"163","GX-9992","Salango","Ecuador",NA,"charcoal",2705,40
"164","ISGS-1175","Nueva Era","Ecuador",NA,NA,2710,60
"165","GX-7820","La Plata Island","Ecuador",NA,NA,2745,148
"166","GX-7818","La Plata Island","Ecuador",NA,NA,2745,165
"167","N-3870",NA,"Ecuador","I-4","unknown",2750,160
"168","GX-9994","Salango","Ecuador",NA,"bone",2750,40
"169","GX-9990","Salango","Ecuador",NA,"charcoal",2765,70
"170","Beta-89271","Huapula","Ecuador",NA,"carbon",2780,240
"171","HO-1307","Jama Valley","Ecuador",NA,"charcoal",2800,240
"172","GX-7816","La Plata Island","Ecuador",NA,NA,2830,40
"173","N-3869",NA,"Ecuador","I-2","unknown",2860,50
"174","GX-13675","Salango","Ecuador",NA,"human bone",2870,50
"175","N-2785","Cotocollao","Ecuador","SI-Evans-37","unknown",2880,150
"176","ISGS-3310","Dos Caminos","Ecuador",NA,NA,2880,115
"177","GX-7823","La Plata Island","Ecuador",NA,NA,2915,140
"178","ISGS-3309","Dos Caminos","Ecuador",NA,NA,2930,70
"179","SI-1051","Buena Vista","Ecuador",NA,NA,2945,71
"180","B-43348","Santa Matra","Ecuador",NA,NA,2950,170
"181","GX-13673","Salango","Ecuador",NA,"human bone",2965,220
"182","I-7006","La Libertad","Ecuador",NA,NA,2990,0
"183","OxA-1376","Pirincay","Ecuador",NA,"charcoal",3000,65
"184","OxA-948","Pirincay","Ecuador",NA,NA,3000,185
"185","I-7008","La Libertad","Ecuador",NA,NA,3015,185
"186","GX-13027","Salango","Ecuador",NA,"human bone",3045,110
"187","I-7013","La Libertad","Ecuador",NA,NA,3060,140
"188","GX-7821","La Plata Island","Ecuador",NA,NA,3065,215
"189","ISGS-1182","Nueva Era","Ecuador",NA,NA,3070,190
"190","Beta-210218","Santa Ana - La Florida","Ecuador",NA,NA,3140,170
"191","OxA-5836","Salango","Ecuador",NA,"human bone",3180,140
"192","GX-12469","Nambillo","Ecuador","R34/R40","unknown",3225,165
"193","SI-1050","Buena Vista","Ecuador",NA,NA,3250,160
"194","N-2784","Cotocollao","Ecuador","SI-Evans-36","unknown",3320,180
"195","GX-12473","Nambillo","Ecuador","R24","unknown",3330,145
"196","SMU-2241","La Emerenciana","Ecuador",NA,NA,3361,45
"197","GX-13668","Salango","Ecuador",NA,"human bone",3370,100
"198","SMU-2226","La Emerenciana","Ecuador",NA,NA,3400,100
"199","Beta-210217","Santa Ana - La Florida","Ecuador",NA,NA,3480,145
"200","SMU-4549","La Emerenciana","Ecuador",NA,"charcoal",3629,80
"201","N-2909","Ayalan","Ecuador",NA,NA,3630,40
"202","Beta-188264","Santa Ana - La Florida","Ecuador",NA,NA,3660,100
"203","N-2908","Ayalan","Ecuador",NA,NA,3665,160
"204","Beta-188266","Santa Ana - La Florida","Ecuador",NA,NA,3690,245
"205","Beta-125106","La Emerenciana","Ecuador","Sample A Cat. No.5480","organic material/acid washes",3700,135
"206","Beta-197176","Santa Ana - La Florida","Ecuador",NA,"carbon",3700,100
"207","Beta-214742","Santa Ana - La Florida","Ecuador",NA,"carbon",3700,60
"208","SMU-2225","La Emerenciana","Ecuador",NA,NA,3707,120
"209","SMU-2263","La Emerenciana","Ecuador",NA,NA,3775,130
"210","Beta-210219","Santa Ana - La Florida","Ecuador",NA,NA,3790,140
"211","Beta-188263","Santa Ana - La Florida","Ecuador",NA,NA,3820,100
"212","Beta-188265","Santa Ana - La Florida","Ecuador",NA,NA,3830,95
"213","GX-7430","Real alto","Ecuador",NA,NA,3845,75
"214","GX-7430","Real Alto","Ecuador",NA,NA,3845,55
"215","Beta-172587","Santa Ana - La Florida","Ecuador",NA,NA,3860,80
"216","Beta-125107","La Emerenciana","Ecuador","Sample B Cat No.5623","organic material/acid washes",3860,100
"217","L-1232H","Punta Concepción","Ecuador",NA,NA,3900,140
"218","N-2783","Cotocollao","Ecuador","SI-Evans-35","unknown",3960,50
"219","GX-7702","Loma Alta","Ecuador",NA,NA,3985,270
"220","GX#30043","Santa Ana - La Florida","Ecuador",NA,NA,3990,70
"221","GX-7434","Real Alto","Ecuador",NA,NA,4015,65
"222","P-2761","Anllulla","Ecuador","3","charcoal",4020,160
"223","GX-7429","Real Alto","Ecuador",NA,NA,4050,0
"224","GX-7429","Real Alto","Ecuador",NA,NA,4050,200
"225","Hv-4675","Valdivia","Ecuador",NA,"unknown",4075,210
"226","M-1321","Valdivia","Ecuador","Zone E, 3.9-4.2 m","shell",4100,900
"227","SMU-4259","La Emerenciana","Ecuador",NA,"charcoal",4109,240
"228","ISGS-467","Real Alto","Ecuador",NA,NA,4140,40
"229","GX-7436","Real Alto","Ecuador",NA,NA,4145,150
"230","M-1318","Valdivia","Ecuador","Zone D, 3.0-3.3 m","charcoal",4170,420
"231","GX-7437","Real Alto","Ecuador",NA,NA,4175,110
"232","GX-7438","Real Alto","Ecuador",NA,NA,4205,200
"233","GX-7439","Real Alto","Ecuador",NA,NA,4240,30
"234","GX-7700","Loma Alta","Ecuador",NA,NA,4245,200
"235","L-1232","Punta Concepción","Ecuador",NA,NA,4250,60
"236","Hv-4838","Valdivia","Ecuador",NA,"charcoal",4260,60
"237","GX-7701","Loma Alta","Ecuador",NA,NA,4260,30
"238","ISGS-446","Real Alto","Ecuador",NA,NA,4270,60
"239","Beta-197175","Santa Ana - La Florida","Ecuador",NA,NA,4300,150
"240","Hv-4673","Loma Alta","Ecuador",NA,"charcoal",4335,60
"241","SFU-120","Loma Alta","Ecuador",NA,NA,4360,65
"242","GX-5271","Colimes","Ecuador",NA,NA,4365,60
"243","GX-7703","Loma Alta","Ecuador",NA,NA,4375,60
"244","SFU-105","Loma Alta","Ecuador",NA,NA,4450,50
"245","SFU-122","Loma Alta","Ecuador",NA,NA,4460,90
"246","M-1317","Valdivia","Ecuador","Zone D, 2.7 - 3.0","charcoal",4480,100
"247","Hv-4840","Valdivia","Ecuador",NA,"charcoal",4495,100
"248","Hv-4674","Valdivia","Ecuador",NA,"charcoal",4510,20
"249","ISGS-477","Colimes","Ecuador",NA,NA,4525,60
"250","Hv-4839","Valdivia","Ecuador",NA,"charcoal",4535,51
"251","GX-12470","Nambillo","Ecuador","R35","unknown",4540,80
"252","Hv-4835","Valdivia","Ecuador",NA,"unknown",4620,53
"253","M-1322","Valdivia","Ecuador","Zone E, 4.0 m","charcoal",4620,90
"254","GX-9460","Loma Alta","Ecuador",NA,NA,4700,40
"255","N-4491","Huapula","Ecuador","MS-Hp Tola 1.50 m","unknown",4700,75
"256","SFU-110","Loma Alta","Ecuador",NA,NA,4790,60
"257","SFU-123","Loma Alta","Ecuador",NA,NA,4920,200
"258","GX-9458","Loma Alta","Ecuador",NA,NA,4960,60
"259","GX-13674","Salango","Ecuador",NA,"human bone",4970,65
"260","GX-9459","Loma Alta","Ecuador",NA,NA,5050,60
"261","M-1320","Valdivia","Ecuador","Zone E, 3.6-3.9 m","charcoal",5150,70
"262","GX-9457","Loma Alta","Ecuador",NA,NA,5240,75
"263","GX-12471","Nambillo","Ecuador","R41","unknown",5325,144
"264","SRR-438","Quito","Ecuador",NA,"wood",6470,130
"265","SRR-718","Rio Monjas","Ecuador",NA,"peat",6750,60
"266","TX-1133","Cubilan","Ecuador",NA,"charcoal",8480,100
"267","R-1070/2","El Inga","Ecuador",NA,"charcoal",9033,33
"268","SRR-2585","Rio Collanes","Ecuador",NA,"peat",9310,60
"269","TX-1132","Chobsi","Ecuador",NA,"charcoal",10010,60
"270","SRR-2581","Rio Mocha","Ecuador",NA,"peat",10650,60
"271","SRR-2582","Rio Mocha","Ecuador",NA,"peat",11370,60
"272","SRR-618","Punta Juramijo","Ecuador",NA,"shell",32870,70
"273","SRR-2583","Chimborazo","Ecuador",NA,"peat",35440,105
"274","SRR-2584","Chimborazo","Ecuador",NA,"peat",40330,70
"275","SRR-439","Sangolqui","Ecuador",NA,"wood",48800,70
