proxy,depth,upper_age,lower_age,age,variable,count
llaviucu_diatoms_counts,50,218,239,NA,Achnanthidium.minutissimum,145
llaviucu_diatoms_counts,52,251,262,NA,Achnanthidium.minutissimum,219
llaviucu_diatoms_counts,53,262,288,NA,Achnanthidium.minutissimum,139
llaviucu_diatoms_counts,55,317,349,NA,Achnanthidium.minutissimum,238
llaviucu_diatoms_counts,57,385,424,NA,Achnanthidium.minutissimum,202
llaviucu_diatoms_counts,59,445,456,NA,Achnanthidium.minutissimum,188
llaviucu_diatoms_counts,60,456,501,NA,Achnanthidium.minutissimum,200
llaviucu_diatoms_counts,61,501,519,NA,Achnanthidium.minutissimum,172
llaviucu_diatoms_counts,63,540,587,NA,Achnanthidium.minutissimum,192
llaviucu_diatoms_counts,64,587,632,NA,Achnanthidium.minutissimum,211
llaviucu_diatoms_counts,65,632,681,NA,Achnanthidium.minutissimum,196
llaviucu_diatoms_counts,67,724,787,NA,Achnanthidium.minutissimum,210
llaviucu_diatoms_counts,68,787,850,NA,Achnanthidium.minutissimum,143
llaviucu_diatoms_counts,70,914,970,NA,Achnanthidium.minutissimum,116
llaviucu_diatoms_counts,73,1038,1097,NA,Achnanthidium.minutissimum,161
llaviucu_diatoms_counts,75,1155,1206,NA,Achnanthidium.minutissimum,135
llaviucu_diatoms_counts,78,1255,1308,NA,Achnanthidium.minutissimum,148
llaviucu_diatoms_counts,80,1349,1354,NA,Achnanthidium.minutissimum,39
llaviucu_diatoms_counts,83,1430,1458,NA,Achnanthidium.minutissimum,140
llaviucu_diatoms_counts,85,1505,1550,NA,Achnanthidium.minutissimum,171
llaviucu_diatoms_counts,88,1636,1655,NA,Achnanthidium.minutissimum,173
llaviucu_diatoms_counts,90,1690,1703,NA,Achnanthidium.minutissimum,115
llaviucu_diatoms_counts,91,1703,1742,NA,Achnanthidium.minutissimum,61
llaviucu_diatoms_counts,93,1765,1802,NA,Achnanthidium.minutissimum,129
llaviucu_diatoms_counts,95,1839,1874,NA,Achnanthidium.minutissimum,71
llaviucu_diatoms_counts,97,1908,1941,NA,Achnanthidium.minutissimum,82
llaviucu_diatoms_counts,98,1941,1973,NA,Achnanthidium.minutissimum,103
llaviucu_diatoms_counts,101,2035,2052,NA,Achnanthidium.minutissimum,118
llaviucu_diatoms_counts,103,2070,2099,NA,Achnanthidium.minutissimum,148
llaviucu_diatoms_counts,105,2127,2155,NA,Achnanthidium.minutissimum,62
llaviucu_diatoms_counts,107,2182,2208,NA,Achnanthidium.minutissimum,107
llaviucu_diatoms_counts,108,2208,2234,NA,Achnanthidium.minutissimum,63
llaviucu_diatoms_counts,110,2260,2285,NA,Achnanthidium.minutissimum,104
llaviucu_diatoms_counts,111,2285,2310,NA,Achnanthidium.minutissimum,82
